Finger_1_Joint_1_Angle,Finger_1_Joint_2_Angle,Finger_1_Joint_3_Angle,Finger_2_Joint_1_Angle,Finger_2_Joint_2_Angle,Finger_2_Joint_3_Angle,Finger_3_Joint_1_Angle,Finger_3_Joint_2_Angle,Finger_3_Joint_3_Angle,Finger_4_Joint_1_Angle,Finger_4_Joint_2_Angle,Finger_4_Joint_3_Angle,Finger_5_Joint_1_Angle,Finger_5_Joint_2_Angle,Finger_5_Joint_3_Angle
154.0153493119248,163.47420361007437,165.20323775494265,173.41805534482182,46.54815769897797,153.434948822922,169.87974498233416,47.236649703526496,157.06789956241022,150.9453959009229,51.98670453666693,159.35850960504874,135.15836272418673,88.78328141708708,148.36281595040754
154.76677675803003,166.10282368498466,135.90938044919915,169.92936584593545,59.74356283647075,129.28940686250039,176.78217752772687,52.39472432991494,139.39870535499554,164.32279014558839,63.70600903373289,135.64194265600457,167.7352262721075,93.17983011986423,134.11077992277427
162.62719191576787,169.09282671162777,140.44632719468703,173.43055098688808,67.46321248940714,134.28828779396432,171.56276429771464,71.63169997933105,133.492564241225,165.74078643950233,75.46872642756439,132.16201960807803,174.18071447333082,111.552685184196,122.18263176720482
158.83874018317175,169.96074521284743,153.43494882292205,178.60281897270337,121.94475277620339,118.12373538328882,177.04632599510282,107.85031830221682,102.57546549974444,173.08686955640658,115.9940158039632,104.03624346792648,171.2525101247861,131.53177074108285,126.2538377374448
158.23592485643965,162.37387903778296,179.67919831587537,176.76948061629224,138.3298187288517,130.81508387488162,172.80093953600309,128.96543078742906,116.68879996848445,171.29117208023612,131.82016988013578,129.20720350496788,168.50177589815092,155.64493093715848,146.0702025779394
158.2994632606826,166.42075268737838,177.9079337205198,171.0473963720619,169.21570213243723,175.91438322002477,178.90251394661914,163.75712089730243,176.58905504464437,175.36182331934623,161.69586323178268,173.42998285408962,175.87718085777405,164.01658434386573,172.6059913574015
153.49659030480203,164.4081040802891,175.38710581280998,167.61421690518833,172.8749836510981,180.0,179.6029360160073,171.0361301907078,177.35745470593528,177.77276574373656,166.38145833855899,172.42146452514012,179.9794859373176,169.2919708409502,174.12480726970497
151.09764296379825,166.3842120166225,173.5092283655246,166.28672819304748,178.05631904115654,177.2220039428737,176.89804822082078,171.663513076102,177.99212223727895,179.94897972896598,166.0505419542113,174.73920535416966,176.33960145212455,170.09581678702605,177.4782403475469
148.78840640782587,166.7974195930785,172.50222995107475,166.606067412544,178.35297133874093,176.8778695378843,171.42411638272333,170.12216371014443,179.4743653935423,171.9571057664947,162.50725543017305,175.87650797879755,170.32035617467403,172.51670309217718,175.36453657309724
146.84573092877403,175.87283659068865,178.8911878722417,177.10857194298217,172.8221277809324,175.04556876504938,162.81950279975953,176.30585037379058,175.24440886135164,173.9041384554042,178.96464681345373,174.39072555355418,160.15819581990218,179.48383577023506,177.01571785640652
152.04502931130386,175.03025927188966,170.75388725443685,170.3160916927179,175.98301458609808,177.86574123749696,166.06516488549863,178.52086019769405,176.2496966232014,175.62929212938258,172.892225835204,176.41050325916214,113.70959890032998,136.63657704161673,176.18592516571002
152.29085981535027,177.30571571014394,172.87498365109803,170.44296647397317,178.42672867325376,172.39553225230182,179.09900833525074,177.22629455803622,176.54539205301728,151.74685913843044,168.49661036746818,173.07053162736915,78.92979742206066,140.0796078600146,175.7052167429777
157.96809846658886,173.2627664237638,179.62388431173414,178.50818416304315,177.80793027977603,179.488444133412,171.11890596030108,160.92674581209073,172.5082030108313,145.3805343765403,78.50955211975298,169.19476643244172,113.31770838675506,94.08561677997487,169.07160980739425
158.09095131530313,173.9737421240194,173.31770356343765,178.6693424884397,178.68811221749496,175.60129464500383,172.60133692578685,88.83518162076561,152.35402463626127,162.8811676644483,61.99384953079987,162.3765518607899,138.4048444948456,66.02661829180532,160.9109303350654
158.96248897457815,164.74488129694225,164.29136217098434,179.71569753133585,175.24994516685965,176.14651954639822,176.66179633551792,68.88309533553661,150.73880143744944,174.49491219447168,52.179674838891984,152.7157927063769,157.9465243190585,56.24548280546287,147.79345145999554
152.52809330671587,164.99273460099445,101.74563342528795,179.57637903523542,119.93151184050782,88.57973445360095,173.69943784295933,144.72124262535056,97.8152935467669,177.44890491099864,136.0050860052542,117.40757543781844,179.19730954803373,159.16832358129395,154.40232783821816
150.13925277502938,165.98672537410351,99.82393172341585,179.51277204492013,116.476495174158,106.85839876773827,173.15722658736883,150.64224645720878,143.8017083232078,177.41194122194958,144.8147866720523,141.65920726613683,176.0480215500811,167.44024390737306,153.93900426023998
151.06110229304247,165.290453012557,100.55674475571824,176.93169161153682,107.3540246362613,113.19859051364818,173.7227015104024,157.16634582208246,163.02808308565238,178.63809834278675,154.732689499661,164.68718163919368,179.2495294349309,169.10449631658722,162.4075754378184
145.7625372231425,172.30394827798344,110.3764352138364,176.8505373237022,144.63753811293094,86.26860300083955,174.64328972478103,162.58580338469127,166.58764235813166,179.44940742273343,156.3789951729096,168.69006752597977,179.6514898242716,175.71846376492988,170.45547443444184
147.03685160646344,173.21695114479908,142.32640666016954,177.11373000432513,158.4388687751623,146.4965630175858,171.04970656639838,166.85799889132792,171.90729697441813,171.53373565312663,161.98633608124658,172.4815731205579,179.30485394140098,177.76247522089372,171.3881319688628
151.37354932705026,174.6232945719493,171.5983557001595,178.60160133845713,170.13419305691565,173.82982490497037,166.95162403123265,177.5051624645206,175.43099725493917,170.00110205468175,174.31910918203425,176.68905848538853,176.61479685130058,176.9908053834721,175.57452508792124
153.1005414556788,177.21779433777627,175.3013194827004,179.8762512085829,177.33699923393283,179.2461516669277,165.35994923667513,179.596159783548,179.4594898128684,174.91425987677212,175.1729298101584,176.54338082795823,158.28835785612762,179.34681908536112,179.29916914973947
155.26434012094796,172.51911382047632,173.4537092167058,175.23635830927356,174.74094487787505,178.7854304520553,158.9639835041319,64.28058157864163,169.50852298766839,123.08485292873497,76.67546873810923,173.40968040147197,106.62358131394467,83.09967183072271,168.46537934635543
157.82870336314429,175.2873483102116,173.26951606538455,179.9393053410435,175.81508387488176,176.2686030008393,169.28508654005077,52.315525304396274,164.9397641491808,150.78265980069733,48.120440221408394,166.98288781092256,136.17246170833636,53.434358529136674,159.7199718669751
158.98283837687387,174.14687101110738,175.23635830927387,177.35045865132636,137.7072410064217,163.97102169372337,165.4618038464983,48.310941514611464,164.3058417712606,157.93122084503364,41.103519129128074,162.83245016231126,143.5680662663454,51.20776722166202,154.02224262227978
153.86093189956514,169.412678681763,176.74379406804889,176.7161377120932,84.07937928595321,142.36474624498268,170.54834541045338,44.33490473972732,158.3142226059288,165.4950068283217,40.995827059290605,153.43494882292202,157.0382374594623,61.334703107665334,137.78200553725213
155.6449309371585,165.04742094673492,158.26770481005698,176.0032116629145,51.46981998517317,153.43494882292205,173.38099887564545,46.406533404303424,154.38979007679424,169.7181226440846,49.51398845800127,147.2647737278924,167.55422436231748,99.98940742623671,112.59016262850675
151.84067888082205,165.34616425489358,114.82934658814962,175.37779028082124,114.90476880809521,107.10272896905235,174.62602730175462,145.93112292241142,131.24827092947405,174.28940686250036,141.84277341263092,136.28732894152498,172.70174508756904,165.44822559844906,156.29735404903366
153.88608736970926,164.98163936884944,118.41085838490179,177.4791720922898,135.0,85.23635830927384,175.6012946450045,162.7108140152532,163.35496178532415,178.12772336530017,156.50465264564835,157.71441235316723,174.69907348347436,174.63114371202903,162.77251177354904
152.7014281165389,164.45298392670568,124.29166879617522,179.76301594460898,162.99823265246508,133.15238973400542,173.03887472848683,161.83195505162055,168.6267572981407,177.58516185416872,156.14744139611872,163.21016962881532,175.3373835085068,174.7070522857504,172.5685920288275
147.871740002178,174.55966796899432,169.939310204677,176.21999430366736,179.8480221614363,179.13630995540163,172.13485153476196,163.57069854846654,179.72454164386423,146.81479158354304,114.3045492659367,161.56505117707806,76.7401853290131,135.53545898556453,167.47119229084848
153.48209289855234,169.6480094556036,176.42366562500254,175.48802938269702,177.90929630795057,178.25549015841065,164.40391531550736,171.50562421019106,176.05481377096285,110.42212561843597,82.06222331185126,172.23163399389227,75.58909128206383,115.17753542963479,166.6754687381093
151.5474944885845,171.64363654426276,177.73949808885783,174.38264758627676,179.4014903604514,178.30597905325962,157.88289515596773,86.95853388136567,161.83585973209105,117.83041484248892,79.69515353123398,169.0771952801308,94.44382982297972,93.14902041884757,160.76932762433879
150.25511870305775,169.93931020467704,176.15494610437972,173.2665990620517,179.4014903604514,179.03982543333285,167.5996203896491,74.23785223602746,154.15561244543963,133.15569265551628,58.97410056440545,166.85966689073092,113.98114862110337,65.70086595823439,161.11743700621741
150.89196497499415,172.29916605785317,176.83011763965885,175.32966998115702,178.1579565746312,179.54164354200074,164.13629954682114,73.60238187389791,156.30319787373818,136.87130846259933,57.0378533199966,162.01266534793857,122.687631014263,60.851928154286945,156.4477363271054
146.21711580563627,172.76824039544528,174.59620863975047,176.7357162759812,176.0548137709623,170.05399505758268,178.55824661873356,158.86631274096288,152.38497190532323,174.79405608874976,148.53585636913422,151.26020470831196,170.81945804237344,150.04002528080375,146.19511142629997
148.08053354778255,171.54497232282256,176.33806442447988,176.45131802609586,178.99491399474405,171.86989764584413,178.11051520989267,168.97654403625705,172.23483398157484,179.03573956363147,157.18775413327188,168.8417770907086,171.25383773744508,164.05460409907715,167.47119229084848
150.0013184604715,171.54497232282256,178.60281897270337,177.68293761412818,177.91743472026886,178.4961602858768,178.56790381583446,170.12216371014443,178.5056664087336,178.61836594577738,161.85546900603646,170.7321637371789,176.46649672088918,164.26285681039428,168.28040090500588
